"user","time"
"38999","1499187299"
"38999","1499188053"
"39005","1499188892"
"39004","1499190830"
"39006","1499191309"
"39407","1499193406"
"39006","1499196858"
"39006","1499196871"
"39009","1499197608"
"39009","1499197888"
"38999","1499198447"
"734","1499199172"
"39115","1499199485"
"38999","1499199506"
"38999","1499199520"
"973","1499200795"
"38871","1499201067"
"522","1499201150"
"554","1499202480"
"556","1499205217"
"555","1499205656"
"975","1499217548"
"38703","1499217829"
"39138","1499248870"
"38637","1499249908"
"38637","1499250777"
"39416","1499252538"
"39411","1499254207"
"39148","1499254600"
"38853","1499257405"
"38853","1499257477"
"38853","1499257594"
"38853","1499257674"
"38853","1499257755"
"38853","1499257979"
"38853","1499258037"
"39196","1499258084"
"38853","1499258135"
"38853","1499258252"
"38853","1499258329"
"39429","1499258385"
"38994","1499260748"
"39501","1499260943"
"39190","1499262099"
"39308","1499262556"
"39308","1499262657"
"39308","1499262699"
"39308","1499262760"
"534","1499263567"
"39146","1499263761"
"534","1499263866"
"39148","1499264075"
"38875","1499264228"
"534","1499264413"
"534","1499264699"
"534","1499264784"
"39318","1499265202"
"39429","1499265468"
"39518","1499265660"
"38853","1499266121"
"38701","1499266308"
"38701","1499266326"
"38701","1499266342"
"39432","1499266349"
"39114","1499266620"
"39075","1499266688"
"39127","1499266784"
"1061","1499266820"
"39318","1499266910"
"39002","1499267119"
"1061","1499267613"
"38551","1499267641"
"1086","1499267991"
"39075","1499268175"
"534","1499268188"
"39333","1499268255"
"39318","1499268352"
"39318","1499268396"
"39092","1499269348"
"39127","1499269500"
"39399","1499269784"
"38853","1499270465"
"38706","1499270507"
"39350","1499270658"
"39095","1499271242"
"38731","1499271286"
"38731","1499271298"
"39133","1499271737"
"39318","1499271763"
"39133","1499271860"
"39133","1499271884"
"38731","1499271934"
"38731","1499271941"
"39318","1499271962"
"38731","1499271983"
"39174","1499272151"
"39174","1499272166"
"39174","1499272172"
"39174","1499272215"
"38695","1499272224"
"38731","1499272247"
"39174","1499272261"
"39174","1499272285"
"534","1499272301"
"39174","1499272313"
"39092","1499272662"
"39190","1499272973"
"39146","1499273116"
"39413","1499273120"
"39107","1499273366"
"39158","1499273373"
"39127","1499273420"
"39127","1499273451"
"39013","1499273606"
"39158","1499273628"
"39158","1499273665"
"39318","1499273747"
"39414","1499273919"
"534","1499273990"
"39318","1499274016"
"971","1499274276"
"39387","1499274285"
"718","1499274583"
"38853","1499275246"
"38655","1499275432"
"39198","1499275432"
"39161","1499275676"
"39161","1499275746"
"39374","1499276015"
"39261","1499276336"
"38578","1499276554"
"39318","1499276631"
"38655","1499276720"
"39426","1499277179"
"39225","1499277728"
"39225","1499277877"
"39318","1499277941"
"39318","1499277959"
